gid,local,cod_local,E,N,geometry,x,y
699,Fazenda Canguiri,PFCG,687273.146,7190409.314,POINT Z (687273.1460883447 7190409.314127291 935.6854159696934),687273.1460883447,7190409.314127291
700,Fazenda Canguiri,PFCG,687274.656,7190416.108,POINT Z (687274.6560436494 7190416.107630171 937.3311394462282),687274.6560436494,7190416.107630171
701,Fazenda Canguiri,PFCG,687305.452,7190489.202,POINT Z (687305.4518320295 7190489.201860987 942.9736199372048),687305.4518320295,7190489.201860987
702,Fazenda Canguiri,PFCG,687273.591,7190460.915,POINT Z (687273.5909942942 7190460.915496101 942.8560682603095),687273.5909942942,7190460.915496101
703,Fazenda Canguiri,PFCG,687267.526,7190454.983,POINT Z (687267.5255744632 7190454.983075921 941.680551491356),687267.5255744632,7190454.983075921
704,Fazenda Canguiri,PFCG,687230.216,7190422.272,POINT Z (687230.2155949038 7190422.272313417 939.6821729841351),687230.2155949038,7190422.272313417
705,Fazenda Canguiri,PFCG,687165.212,7190441.65,POINT Z (687165.211964439 7190441.650159344 940.373348599763),687165.211964439,7190441.650159344
706,Fazenda Canguiri,PFCG,687150.263,7190428.602,POINT Z (687150.2631077336 7190428.60157632 937.5521083542747),687150.2631077336,7190428.60157632
707,Fazenda Canguiri,PFCG,687217.992,7190487.107,POINT Z (687217.9916671136 7190487.107360584 947.5581353361233),687217.9916671136,7190487.107360584
708,Fazenda Canguiri,PFCG,687245.095,7190596.591,POINT Z (687245.094871826 7190596.590914711 945.8580772814594),687245.094871826,7190596.590914711
709,Fazenda Canguiri,PFCG,687247.322,7190597.752,POINT Z (687247.3216213236 7190597.752398897 945.8580772814594),687247.3216213236,7190597.752398897
710,Fazenda Canguiri,PFCG,687243.624,7190601.502,POINT Z (687243.624477171 7190601.502135422 945.8580772814594),687243.624477171,7190601.502135422
711,Fazenda Canguiri,PFCG,687240.931,7190600.738,POINT Z (687240.9310317212 7190600.738456674 945.8580772814594),687240.9310317212,7190600.738456674
712,Fazenda Canguiri,PFCG,687227.93,7190617.775,POINT Z (687227.9303339513 7190617.774854301 946.3282839890408),687227.9303339513,7190617.774854301
713,Fazenda Canguiri,PFCG,687095.969,7190703.828,POINT Z (687095.9686259484 7190703.827580042 955.1762298935349),687095.9686259484,7190703.827580042
714,Fazenda Canguiri,PFCG,687065.72,7190685.158,POINT Z (687065.7202524148 7190685.158345636 954.5884715090582),687065.7202524148,7190685.158345636
715,Fazenda Canguiri,PFCG,687067.048,7190683.465,POINT Z (687067.0476944115 7190683.465276861 954.5884715090582),687067.0476944115,7190683.465276861
716,Fazenda Canguiri,PFCG,687147.109,7190710.024,POINT Z (687147.1092958145 7190710.024225366 957.0570567238605),687147.1092958145,7190710.024225366
717,Fazenda Canguiri,PFCG,687055.683,7190666.739,POINT Z (687055.6833910807 7190666.738697453 956.0040392631552),687055.6833910807,7190666.738697453
718,Fazenda Canguiri,PFCG,687051.454,7190667.663,POINT Z (687051.4540906213 7190667.663478851 956.2391426169459),687051.4540906213,7190667.663478851
719,Fazenda Canguiri,PFCG,687048.899,7190664.395,POINT Z (687048.8989148859 7190664.395052487 955.2987292017831),687048.8989148859,7190664.395052487
720,Fazenda Canguiri,PFCG,687060.54,7190708.267,POINT Z (687060.5403228557 7190708.266754762 956.4742459707365),687060.5403228557,7190708.266754762
721,Fazenda Canguiri,PFCG,687066.734,7190715.03,POINT Z (687066.7338675192 7190715.030055426 956.7093493245272),687066.7338675192,7190715.030055426
722,Fazenda Canguiri,PFCG,687065.292,7190714.017,POINT Z (687065.2917112837 7190714.016907104 956.7093493245272),687065.2917112837,7190714.016907104
723,Fazenda Canguiri,PFCG,687093.189,7190738.864,POINT Z (687093.1894415017 7190738.863712051 954.7109708173064),687093.1894415017,7190738.863712051
724,Fazenda Canguiri,PFCG,687095.035,7190729.594,POINT Z (687095.0353537103 7190729.594109786 957.8848660934807),687095.0353537103,7190729.594109786
725,Fazenda Canguiri,PFCG,687023.86,7190676.292,POINT Z (687023.859966425 7190676.291941412 952.8530460122706),687023.859966425,7190676.291941412
726,Fazenda Canguiri,PFCG,687021.392,7190673.8,POINT Z (687021.3919984128 7190673.799999044 952.8530460122706),687021.3919984128,7190673.799999044
727,Fazenda Canguiri,PFCG,687017.329,7190670.011,POINT Z (687017.3289211665 7190670.0112843 952.970597689166),687017.3289211665,7190670.0112843
728,Fazenda Canguiri,PFCG,687014.91,7190668.134,POINT Z (687014.9096545601 7190668.134022606 952.970597689166),687014.9096545601,7190668.134022606
729,Fazenda Canguiri,PFCG,687013.689,7190666.935,POINT Z (687013.688923319 7190666.934677341 952.970597689166),687013.688923319,7190666.934677341
730,Fazenda Canguiri,PFCG,687012.219,7190665.899,POINT Z (687012.2187963576 7190665.899326293 952.970597689166),687012.2187963576,7190665.899326293
731,Fazenda Canguiri,PFCG,687010.825,7190664.492,POINT Z (687010.8251730157 7190664.492126617 952.970597689166),687010.8251730157,7190664.492126617
732,Fazenda Canguiri,PFCG,687009.483,7190662.73,POINT Z (687009.483167369 7190662.7295678705 952.970597689166),687009.483167369,7190662.7295678705
733,Fazenda Canguiri,PFCG,687007.993,7190661.577,POINT Z (687007.9933396 7190661.577392255 952.970597689166),687007.9933396,7190661.577392255
754,Fazenda Canguiri,PFCG,687838.158,7190434.712,POINT Z (687838.1581697988 7190434.712225578 942.4869384694429),687838.1581697988,7190434.712225578
755,Fazenda Canguiri,PFCG,687832.42,7190438.482,POINT Z (687832.4198827137 7190438.481709659 941.5562629378395),687832.4198827137,7190438.481709659
760,Fazenda Canguiri,PFCG,687834.724,7190362.072,POINT Z (687834.7238357689 7190362.072263495 943.2017288489832),687834.7238357689,7190362.072263495
762,Fazenda Canguiri,PFCG,687826.989,7190278.117,POINT Z (687826.9893779358 7190278.117001297 925.5188937485194),687826.9893779358,7190278.117001297
763,Fazenda Canguiri,PFCG,687828.262,7190423.108,POINT Z (687828.2615530362 7190423.107681288 941.2687460769779),687828.2615530362,7190423.107681288
764,Fazenda Canguiri,PFCG,687829.804,7190421.2,POINT Z (687829.8043234677 7190421.2000843445 941.036077194077),687829.8043234677,7190421.2000843445
765,Fazenda Canguiri,PFCG,687832.972,7190414.282,POINT Z (687832.9716987293 7190414.282342402 941.036077194077),687832.9716987293,7190414.282342402
766,Fazenda Canguiri,PFCG,687837.22,7190406.292,POINT Z (687837.2203814174 7190406.292059309 938.9420572479695),687837.2203814174,7190406.292059309
767,Fazenda Canguiri,PFCG,687840.328,7190396.257,POINT Z (687840.3283932348 7190396.257099614 937.3133750676636),687840.3283932348,7190396.257099614
768,Fazenda Canguiri,PFCG,687769.176,7190490.14,POINT Z (687769.1761637595 7190490.140410507 944.616486525427),687769.1761637595,7190490.140410507
769,Fazenda Canguiri,PFCG,687792.135,7190496.829,POINT Z (687792.1345828652 7190496.828762327 944.616486525427),687792.1345828652,7190496.828762327
770,Fazenda Canguiri,PFCG,687787.199,7190497.785,POINT Z (687787.1990797434 7190497.785454279 944.8491554083279),687787.1990797434,7190497.785454279
771,Fazenda Canguiri,PFCG,687645.189,7190383.64,POINT Z (687645.1894378589 7190383.640130416 939.2651022187072),687645.1894378589,7190383.640130416
772,Fazenda Canguiri,PFCG,687639.482,7190385.239,POINT Z (687639.4822356344 7190385.239356436 936.7057445067992),687639.4822356344,7190385.239356436
773,Fazenda Canguiri,PFCG,687615.719,7190403.07,POINT Z (687615.7192434355 7190403.069876466 937.9854233627532),687615.7192434355,7190403.069876466
774,Fazenda Canguiri,PFCG,687576.324,7190382.09,POINT Z (687576.3243076714 7190382.090077351 936.1240722995461),687576.3243076714,7190382.090077351
775,Fazenda Canguiri,PFCG,687573.045,7190379.223,POINT Z (687573.0447148744 7190379.222784253 935.8914034166453),687573.0447148744,7190379.222784253
776,Fazenda Canguiri,PFCG,687534.87,7190343.255,POINT Z (687534.8695669879 7190343.254724971 932.6340390560335),687534.8695669879,7190343.254724971
777,Fazenda Canguiri,PFCG,687529.782,7190338.151,POINT Z (687529.7817847106 7190338.1514678765 931.936032407331),687529.7817847106,7190338.1514678765
778,Fazenda Canguiri,PFCG,687527.565,7190334.691,POINT Z (687527.5645743249 7190334.691403485 931.936032407331),687527.5645743249,7190334.691403485
779,Fazenda Canguiri,PFCG,687524.292,7190329.341,POINT Z (687524.2924663814 7190329.341140279 931.7033635244302),687524.2924663814,7190329.341140279
780,Fazenda Canguiri,PFCG,687518.961,7190328.914,POINT Z (687518.9608069919 7190328.913893415 931.936032407331),687518.9608069919,7190328.913893415
781,Fazenda Canguiri,PFCG,687529.903,7190289.941,POINT Z (687529.9027937604 7190289.940779149 929.144005812521),687529.9027937604,7190289.940779149
782,Fazenda Canguiri,PFCG,687512.998,7190312.15,POINT Z (687512.9978299858 7190312.150256261 929.8420124612235),687512.9978299858,7190312.150256261
783,Fazenda Canguiri,PFCG,687512.976,7190314.613,POINT Z (687512.9756314843 7190314.612857697 929.8420124612235),687512.9756314843,7190314.612857697
784,Fazenda Canguiri,PFCG,687562.811,7190252.746,POINT Z (687562.8107596777 7190252.7463088725 928.5882919588767),687562.8107596777,7190252.7463088725
785,Fazenda Canguiri,PFCG,687565.626,7190249.92,POINT Z (687565.6263167217 7190249.9195712 928.2392886345256),687565.6263167217,7190249.9195712
786,Fazenda Canguiri,PFCG,687569.578,7190245.968,POINT Z (687569.5776234898 7190245.968219553 928.2392886345256),687569.5776234898,7190245.968219553
787,Fazenda Canguiri,PFCG,687574.74,7190239.796,POINT Z (687574.7403979567 7190239.795627507 927.6576164272738),687574.7403979567,7190239.795627507
788,Fazenda Canguiri,PFCG,687577.12,7190238.482,POINT Z (687577.1203369307 7190238.482042642 927.424947544373),687577.1203369307,7190238.482042642
789,Fazenda Canguiri,PFCG,687659.091,7190149.934,POINT Z (687659.0911068517 7190149.934368243 932.7763318510874),687659.0911068517,7190149.934368243
790,Fazenda Canguiri,PFCG,687742.551,7190410.825,POINT Z (687742.5505249205 7190410.824866329 943.0127312739633),687742.5505249205,7190410.824866329
791,Fazenda Canguiri,PFCG,687737.549,7190411.152,POINT Z (687737.5486935219 7190411.151896968 944.0597412470165),687737.5486935219,7190411.151896968
792,Fazenda Canguiri,PFCG,687731.835,7190409.449,POINT Z (687731.8350655637 7190409.448885705 944.4087445713676),687731.8350655637,7190409.448885705
793,Fazenda Canguiri,PFCG,687721.897,7190405.196,POINT Z (687721.8966474062 7190405.195529414 941.3840490936582),687721.8966474062,7190405.195529414
794,Fazenda Canguiri,PFCG,687666.21,7190413.744,POINT Z (687666.210359645 7190413.744043588 940.9187113278567),687666.210359645,7190413.744043588
795,Fazenda Canguiri,PFCG,687704.621,7190451.326,POINT Z (687704.6205541953 7190451.32587898 944.4087445713676),687704.6205541953,7190451.32587898
796,Fazenda Canguiri,PFCG,687720.769,7190453.415,POINT Z (687720.7691395916 7190453.41525864 944.1760756884669),687720.7691395916,7190453.41525864
797,Fazenda Canguiri,PFCG,687716.764,7190452.331,POINT Z (687716.7639447845 7190452.330675759 944.4087445713676),687716.7639447845,7190452.330675759
798,Fazenda Canguiri,PFCG,687734.717,7190345.034,POINT Z (687734.7166055936 7190345.033965638 935.3756605769123),687734.7166055936,7190345.033965638
799,Fazenda Canguiri,PFCG,687725.579,7190352.284,POINT Z (687725.5786048827 7190352.2836015 934.9103228111106),687725.5786048827,7190352.2836015
800,Fazenda Canguiri,PFCG,687723.983,7190349.567,POINT Z (687723.9827188731 7190349.567440948 934.9103228111106),687723.9827188731,7190349.567440948
801,Fazenda Canguiri,PFCG,687673.937,7190324.509,POINT Z (687673.936918621 7190324.509026202 931.6529584504989),687673.936918621,7190324.509026202
802,Fazenda Canguiri,PFCG,687671.991,7190320.349,POINT Z (687671.9910144828 7190320.349239244 931.6529584504989),687671.9910144828,7190320.349239244
803,Fazenda Canguiri,PFCG,687679.889,7190329.172,POINT Z (687679.8885760654 7190329.172498014 932.1182962163006),687679.8885760654,7190329.172498014
804,Fazenda Canguiri,PFCG,687698.77,7190342.394,POINT Z (687698.7696626638 7190342.394398377 932.1182962163006),687698.7696626638,7190342.394398377
805,Fazenda Canguiri,PFCG,687697.764,7190391.137,POINT Z (687697.7638727089 7190391.136758717 946.5437669561526),687697.7638727089,7190391.136758717
806,Fazenda Canguiri,PFCG,687674.849,7190370.98,POINT Z (687674.849070872 7190370.979932727 940.4943760007308),687674.849070872,7190370.979932727
807,Fazenda Canguiri,PFCG,687664.274,7190362.66,POINT Z (687664.2739272095 7190362.659950103 934.9103228111106),687664.2739272095,7190362.659950103
808,Fazenda Canguiri,PFCG,687650.854,7190351.208,POINT Z (687650.8540753007 7190351.208218249 932.8163028650031),687650.8540753007,7190351.208218249
809,Fazenda Canguiri,PFCG,687654.792,7190354.187,POINT Z (687654.7922788571 7190354.186952307 932.3509650992014),687654.7922788571,7190354.186952307
810,Fazenda Canguiri,PFCG,687657.698,7190356.034,POINT Z (687657.6979315899 7190356.033657842 932.1182962163006),687657.6979315899,7190356.033657842
811,Fazenda Canguiri,PFCG,687641.546,7190342.995,POINT Z (687641.546301284 7190342.995318361 933.0489717479039),687641.546301284,7190342.995318361
812,Fazenda Canguiri,PFCG,687637.664,7190339.755,POINT Z (687637.6641708047 7190339.755244286 934.2123161624081),687637.6641708047,7190339.755244286
813,Fazenda Canguiri,PFCG,687634.414,7190337.339,POINT Z (687634.4144831849 7190337.339363672 934.2123161624081),687634.4144831849,7190337.339363672
862,Fazenda Canguiri,PFCG,687638.557,7190730.134,POINT Z (687638.5570964168 7190730.134101703 920.535901013728),687638.5570964168,7190730.134101703
863,Fazenda Canguiri,PFCG,687635.543,7190728.336,POINT Z (687635.5425341732 7190728.336296845 921.1747134806787),687635.5425341732,7190728.336296845
864,Fazenda Canguiri,PFCG,687632.899,7190726.001,POINT Z (687632.8987814797 7190726.000954175 920.7488385027116),687632.8987814797,7190726.000954175
865,Fazenda Canguiri,PFCG,687630.082,7190724.262,POINT Z (687630.0823683656 7190724.261762817 920.3229635247444),687630.0823683656,7190724.261762817
867,Fazenda Canguiri,PFCG,687752.563,7190792.599,POINT Z (687752.5626013911 7190792.598789233 919.2582760798265),687752.5626013911,7190792.598789233
868,Fazenda Canguiri,PFCG,687750.492,7190796.737,POINT Z (687750.49237511 7190796.736879628 920.7488385027116),687750.49237511,7190796.736879628
869,Fazenda Canguiri,PFCG,687740.754,7190793.437,POINT Z (687740.7537374464 7190793.4366011135 924.5817133044161),687740.7537374464,7190793.4366011135
870,Fazenda Canguiri,PFCG,687726.054,7190791.262,POINT Z (687726.0541040171 7190791.261748921 919.8970885467772),687726.0541040171,7190791.261748921
871,Fazenda Canguiri,PFCG,687717.542,7190777.343,POINT Z (687717.5415316093 7190777.343352576 921.8135259476305),687717.5415316093,7190777.343352576
872,Fazenda Canguiri,PFCG,687721.422,7190768.917,POINT Z (687721.4221516992 7190768.916646946 922.1329321811061),687721.4221516992,7190768.916646946
873,Fazenda Canguiri,PFCG,687723.457,7190764.707,POINT Z (687723.4568004333 7190764.706530773 921.9199946921224),687723.4568004333,7190764.706530773
874,Fazenda Canguiri,PFCG,687725.156,7190757.495,POINT Z (687725.1561709867 7190757.494640833 922.1329321811061),687725.1561709867,7190757.494640833
875,Fazenda Canguiri,PFCG,687727.461,7190758.516,POINT Z (687727.4606825035 7190758.51593206 922.2394009255979),687727.4606825035,7190758.51593206
876,Fazenda Canguiri,PFCG,687835.711,7190806.597,POINT Z (687835.7109313034 7190806.597264488 916.0642137450707),687835.7109313034,7190806.597264488
877,Fazenda Canguiri,PFCG,687837.816,7190807.205,POINT Z (687837.8163492733 7190807.204759137 916.0642137450707),687837.8163492733,7190807.204759137
878,Fazenda Canguiri,PFCG,687839.724,7190808.007,POINT Z (687839.7235561797 7190808.006674367 916.0642137450707),687839.7235561797,7190808.006674367
879,Fazenda Canguiri,PFCG,687841.02,7190810.425,POINT Z (687841.0197307413 7190810.424844504 915.7448075115951),687841.0197307413,7190810.424844504
880,Fazenda Canguiri,PFCG,687839.591,7190810.206,POINT Z (687839.5910050547 7190810.206407419 915.7448075115951),687839.5910050547,7190810.206407419
881,Fazenda Canguiri,PFCG,687837.462,7190809.279,POINT Z (687837.4624201233 7190809.279226489 915.851276256087),687837.4624201233,7190809.279226489
882,Fazenda Canguiri,PFCG,687835.092,7190808.309,POINT Z (687835.0919695802 7190808.3091613315 915.7448075115951),687835.0919695802,7190808.3091613315
883,Fazenda Canguiri,PFCG,687833.349,7190807.77,POINT Z (687833.3493017454 7190807.769699624 915.7448075115951),687833.3493017454,7190807.769699624
917,Fazenda Canguiri,PFCG,687186.842,7190688.281,POINT Z (687186.8417353572 7190688.281079195 950.405921386887),687186.8417353572,7190688.281079195
918,Fazenda Canguiri,PFCG,687182.89,7190688.351,POINT Z (687182.8900514083 7190688.351264613 950.8317963648542),687182.8900514083,7190688.351264613
919,Fazenda Canguiri,PFCG,687181.976,7190693.396,POINT Z (687181.9755930009 7190693.396072699 949.9800464089199),687181.9755930009,7190693.396072699
920,Fazenda Canguiri,PFCG,687173.595,7190703.26,POINT Z (687173.5951559128 7190703.26009324 951.6835463207885),687173.5951559128,7190703.26009324
921,Fazenda Canguiri,PFCG,687169.493,7190706.704,POINT Z (687169.493284077 7190706.704191155 952.96117125469),687169.493284077,7190706.704191155
922,Fazenda Canguiri,PFCG,687166.315,7190711.315,POINT Z (687166.3153925247 7190711.314769652 953.3870462326572),687166.3153925247,7190711.314769652
923,Fazenda Canguiri,PFCG,687156.626,7190720.898,POINT Z (687156.6257649623 7190720.8978675725 952.5352962767229),687156.6257649623,7190720.8978675725
924,Fazenda Canguiri,PFCG,687152.578,7190726.074,POINT Z (687152.5778690755 7190726.073505984 953.8129212106244),687152.5778690755,7190726.073505984
925,Fazenda Canguiri,PFCG,687149.929,7190729.97,POINT Z (687149.9293746154 7190729.969938617 954.6646711665587),687149.9293746154,7190729.969938617
926,Fazenda Canguiri,PFCG,687146.096,7190733.564,POINT Z (687146.0964965149 7190733.563761521 954.6646711665587),687146.0964965149,7190733.563761521
928,Fazenda Canguiri,PFCG,687839.793,7190759.339,POINT Z (687839.7933571438 7190759.339486574 922.2185435231585),687839.7933571438,7190759.339486574
931,Fazenda Canguiri,PFCG,687826.343,7190777.33,POINT Z (687826.3427706766 7190777.3297450645 922.4314810121421),687826.3427706766,7190777.3297450645
932,Fazenda Canguiri,PFCG,687774.844,7190709.794,POINT Z (687774.8444359645 7190709.794274768 932.0136680164034),687774.8444359645,7190709.794274768
933,Fazenda Canguiri,PFCG,687763.161,7190701.033,POINT Z (687763.1606960451 7190701.033001489 932.6524804833541),687763.1606960451,7190701.033001489
934,Fazenda Canguiri,PFCG,687764.888,7190708.048,POINT Z (687764.8876666415 7190708.048461297 932.8654179723377),687764.8876666415,7190708.048461297
935,Fazenda Canguiri,PFCG,687717.093,7190670.116,POINT Z (687717.093133439 7190670.115665786 938.1888551969273),687717.093133439,7190670.115665786
936,Fazenda Canguiri,PFCG,687728.094,7190660.95,POINT Z (687728.0938109265 7190660.950097748 938.8276676638781),687728.0938109265,7190660.950097748
937,Fazenda Canguiri,PFCG,687705.622,7190651.897,POINT Z (687705.6221735055 7190651.897053196 941.8087925096482),687705.6221735055,7190651.897053196
938,Fazenda Canguiri,PFCG,687679.527,7190660.883,POINT Z (687679.5274305883 7190660.882653409 937.7629802189601),687679.5274305883,7190660.882653409
939,Fazenda Canguiri,PFCG,687690.935,7190697.818,POINT Z (687690.9352826492 7190697.818058025 934.78185537319),687690.9352826492,7190697.818058025
940,Fazenda Canguiri,PFCG,687693.612,7190689.802,POINT Z (687693.6123405787 7190689.801794774 935.4206678401407),687693.6123405787,7190689.801794774
941,Fazenda Canguiri,PFCG,687652.413,7190664.466,POINT Z (687652.4127687963 7190664.465746521 938.8276676638781),687652.4127687963,7190664.465746521
942,Fazenda Canguiri,PFCG,687629.295,7190656.148,POINT Z (687629.2949861238 7190656.147919377 933.717167928272),687629.2949861238,7190656.147919377
943,Fazenda Canguiri,PFCG,687706.779,7190534.581,POINT Z (687706.7787808949 7190534.581180243 947.9839796901722),687706.7787808949,7190534.581180243
944,Fazenda Canguiri,PFCG,687733.769,7190533.326,POINT Z (687733.76865694 7190533.326394263 947.1322297342379),687733.76865694,7190533.326394263
945,Fazenda Canguiri,PFCG,687738.032,7190534.32,POINT Z (687738.0318300629 7190534.319694549 947.558104712205),687738.0318300629,7190534.319694549
946,Fazenda Canguiri,PFCG,687613.036,7190508.87,POINT Z (687613.0364414897 7190508.870432591 942.6605424655826),687613.0364414897,7190508.870432591
967,Fazenda Canguiri,PFCG,687117.439,7190790.156,POINT Z (687117.4394623241 7190790.156008269 955.9938228550882),687117.4394623241,7190790.156008269
968,Fazenda Canguiri,PFCG,687099.538,7190803.346,POINT Z (687099.5381107042 7190803.345917272 952.586823031349),687099.5381107042,7190803.345917272
969,Fazenda Canguiri,PFCG,687100.234,7190799.825,POINT Z (687100.2343762134 7190799.824810684 951.8415418199061),687100.2343762134,7190799.824810684
970,Fazenda Canguiri,PFCG,687097.424,7190796.029,POINT Z (687097.4236596039 7190796.028838225 951.6286043309224),687097.4236596039,7190796.028838225
971,Fazenda Canguiri,PFCG,687088.586,7190789.486,POINT Z (687088.5858001149 7190789.485997915 952.3738855423653),687088.5858001149,7190789.485997915
972,Fazenda Canguiri,PFCG,687086.702,7190787.229,POINT Z (687086.7017355827 7190787.229008597 952.2674167978735),687086.7017355827,7190787.229008597
973,Fazenda Canguiri,PFCG,687106.706,7190772.913,POINT Z (687106.7057739827 7190772.912942352 952.4803542868572),687106.7057739827,7190772.912942352
974,Fazenda Canguiri,PFCG,687411.594,7190427.342,POINT Z (687411.5940844653 7190427.342185509 940.3461546179035),687411.5940844653,7190427.342185509
975,Fazenda Canguiri,PFCG,687408.906,7190430.085,POINT Z (687408.9059318461 7190430.085389149 940.665560851379),687408.9059318461,7190430.085389149
976,Fazenda Canguiri,PFCG,686781.114,7190539.932,POINT Z (686781.113597753 7190539.931645027 952.7291061094171),686781.113597753,7190539.931645027
977,Fazenda Canguiri,PFCG,686769.392,7190544.65,POINT Z (686769.392034067 7190544.650169309 952.7291061094171),686769.392034067,7190544.650169309
978,Fazenda Canguiri,PFCG,686741.634,7190543.74,POINT Z (686741.6336211584 7190543.739886581 951.1012696655652),686741.6336211584,7190543.739886581
979,Fazenda Canguiri,PFCG,686966.302,7190597.799,POINT Z (686966.3024995244 7190597.798820265 961.3333844554917),686966.3024995244,7190597.798820265
980,Fazenda Canguiri,PFCG,686951.09,7190605.392,POINT Z (686951.0897807115 7190605.391952946 963.193768962751),686951.0897807115,7190605.391952946
981,Fazenda Canguiri,PFCG,686961.6,7190621.53,POINT Z (686961.5998941655 7190621.530391726 962.7286728359362),686961.5998941655,7190621.530391726
982,Fazenda Canguiri,PFCG,686938.142,7190636.26,POINT Z (686938.1420152579 7190636.25956424 955.7522309337136),686938.1420152579,7190636.25956424
983,Fazenda Canguiri,PFCG,686922.163,7190624.632,POINT Z (686922.163050195 7190624.631549284 957.612615440973),686922.163050195,7190624.631549284
984,Fazenda Canguiri,PFCG,686839.007,7190515.214,POINT Z (686839.0072508494 7190515.213981501 952.0314619191948),686839.0072508494,7190515.213981501
985,Fazenda Canguiri,PFCG,686845.746,7190521.505,POINT Z (686845.7458058841 7190521.504679057 954.356942553269),686845.7458058841,7190521.504679057
986,Fazenda Canguiri,PFCG,686844.336,7190532.546,POINT Z (686844.336312313 7190532.54609558 951.1012696655652),686844.336312313,7190532.54609558
987,Fazenda Canguiri,PFCG,686854.747,7190541.307,POINT Z (686854.7470510849 7190541.306682283 952.9616541728245),686854.7470510849,7190541.306682283
988,Fazenda Canguiri,PFCG,686858.731,7190544.357,POINT Z (686858.7308090854 7190544.357228365 955.2871348068987),686858.7308090854,7190544.357228365
989,Fazenda Canguiri,PFCG,686872.851,7190607.829,POINT Z (686872.8509245329 7190607.8290372575 955.2871348068987),686872.8509245329,7190607.8290372575
